site_id,site_name,directions_to_site,administrator_of_site,number_of_docks,number_of_restrooms,number_of_parking_lots,number_of_accessible_spaces,number_of_trailer_spaces,number_of_vehicle_spaces,parking_lot_surface,number_of_ramps,ramp_surface,site_longitude,site_latitude
WAS00501,James Lake Public Water Access Site,12 mi N of Virginia on Mn Hwy 53 to N shore.,DNR Division of Parks and Trails,0,0,1,0,6,0,gravel,1,concrete slab,-92.608479,47.656153
WAS00502,"Little Fork River, Samuelson Park Public Water Access Site","3.5 mi S of Silverdale on Mn Hwy 65, then 2.5 mi E on Cnty Rd 75.",Koochiching County,0,0,1,0,0,10,natural,0,,-93.099263,47.94852
WAS00503,"Little Fork River, Dentaybow Public Water Access Site","13 mi S of the city of Little Fork on Mn Hwy 65, then 1 mi E on Twp  Rd 36.",Koochiching County,0,1,1,0,0,6,gravel,0,natural,-93.481842,48.214011
WAS00504,"Vermilion Lake, McKinley Park Public Water Access Site",North side of Tower on Miettunen Plat Rd.,Breitung Township,2,0,1,0,0,20,asphalt,1,concrete slab,-92.274045,47.828217
WAS00505,Isabella Lake Public Water Access Site,From Hwy 1 follow Tomahawk Rd east for 18.4 miles to access.,U.S. Forest Service,0,1,1,0,0,10,gravel,0,,-91.302458,47.80383
WAS00506,Mud (Knuckley) Lake Public Water Access Site,"10 miles north of Buhl, off County Road 461, on the south shore of Mud Lake.",U.S. Forest Service,0,0,1,0,2,0,natural,1,concrete slab,-92.763009,47.647834
WAS00507,Pike River (S) Public Water Access Site,West on Hwy 21 from Embarrass for 2.8 miles.  North on Hwy 135 for1.5 miles.,DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,0,natural,-92.28138,47.676345
WAS00508,Judson Pit Public Water Access Site,In Buhl off of Crant Location,City of Buhl,0,0,1,0,0,0,gravel,0,,-92.785761,47.491543
WAS00509,Pike Lake Public Water Access Site,"9 miles northwest of Isabella, just west of Forest Route 383, on the west shore of Pike Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.553853,47.676937
WAS00510,Moose River (N) Public Water Access Site,"1 mile north of CSAH 116, on the east bank of the Moose River.",U.S. Forest Service,0,0,1,0,0,16,gravel,0,,-92.097923,48.130004
WAS00511,Moose River (S) Public Water Access Site,"On the south side of Forest Route 464, south of Echo Trail, on the west bank of the Moose River.",U.S. Forest Service,0,0,0,0,0,0,,0,,-92.131719,48.0722
WAS00512,"Picket Lake, Mudro Lake Public Water Access Site","8.5 miles north of Ely, off Forest Route 457.",U.S. Forest Service,0,0,1,0,0,25,gravel,0,natural,-91.834662,48.031904
WAS00513,Mule Lake (W) Public Water Access Site,From Longville head south on Hwy 84 for 6.7 miles to the access.,DNR Division of Parks and Trails,1,1,1,0,11,2,asphalt,1,concrete slab,-94.276659,46.911162
WAS00514,"Lake Bemidji, Northwoods Public Water Access Site",3 miles north of Bemidji on CSAH 21 to NW shore of the lake.,DNR Division of Parks and Trails,1,1,1,0,24,3,asphalt,2,concrete slab,-94.873445,47.53361
WAS00515,"Lake Bemidji, Lavinia Public Water Access Site",NE of the city of Bemidji 4.4 miles on Cty Rd 19 and Pintail Lane NE on the east shore of lake.,Northern Township,1,0,1,1,7,0,asphalt,1,concrete slab,-94.817267,47.518573
WAS00516,Island Lake Public Water Access Site,"5 mi S of Lengby on Cnty Rd 4, then W on access road to E shore.",DNR Division of Parks and Trails,1,0,1,0,10,0,gravel,1,concrete slab,-95.644213,47.446911
WAS00518,"Lake Bemidji, Cameron Park Public Water Access Site","In Bemidji, at the junction of 23rd Street and Birchmont Drive NE, on the Mississippi River.",City of Bemidji,2,1,1,0,19,33,asphalt,2,concrete slab,-94.873747,47.494499
WAS00519,"Mississippi River, Iron Bridge Public Water Access Site",7.5 mi SW of Bemidji on N side of Cnty Rd 7 and across river from Iron Bridge Campground.,DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,1,natural,-94.999403,47.435472
WAS00520,"Lake Bemidji, Lake Bemidji SPK Public Water Access Site","From Bemidji, 4 miles north on Co Rd 21, then 2 miles east on Co Rd 20 to Bemidji State Park.",DNR Division of Parks and Trails,0,1,1,0,9,2,gravel,1,concrete slab,-94.824844,47.533394
WAS00521,Pimushe Lake Public Water Access Site,5.5 mi N of Pennington off Cnty Rd 39.,U.S. Forest Service,1,0,1,0,15,0,gravel,1,concrete slab,-94.512176,47.547567
WAS00522,Island Lake Public Water Access Site,18 mi N of Wilton on MN Hwy 89 then .5 mi W on Twp Rd to NE shore.,DNR Division of Parks and Trails,0,0,1,0,5,0,gravel,1,concrete slab,-95.016889,47.780937
WAS00523,North Twin Lake Public Water Access Site,"7 miles east of Turtle River, off County Roaqd 22, on the south shore of North Twin Lake.",U.S. Forest Service,1,1,1,0,5,2,gravel,1,concrete slab,-94.606013,47.588518
WAS00524,"Mississippi River, Big Fish Public Water Access Site","From Cass Lake go E. on Hwy 2, then N. on Co Rd 10, then E. on Smurler Rd SE, then N. on Forest Road 2171 to river bridge parking area.",U.S. Forest Service,0,0,1,0,3,0,,1,natural,-94.425358,47.443933
WAS00525,Plantagenet Lake (N) Public Water Access Site,"From Bemidji, S of Hwy 71/Hwy 2 intersection 1.5 miles, W 2 miles on North Plantangenet Road SW.",Bemidji Township,0,0,0,0,0,0,,1,concrete slab,-94.908501,47.410574
WAS00526,Midge Lake Public Water Access Site,"From Park Rapids, 0.7 mi E on Hwy 34, then 7.8 mi N on Co Rd 4, then .8 mi W on Twp Rd to S shore.",DNR Division of Parks and Trails,0,0,1,0,6,0,gravel,1,concrete slab,-94.728323,47.384353
WAS00527,Moose Lake Public Water Access Site,"4 miles southeast of Shevlin, 2 miles east of county Road 2, on the south shore of Moose Lake.",Clearwater County,0,0,1,0,6,0,gravel,1,natural,-95.187831,47.471842
WAS00528,Pine Lake (N) Public Water Access Site,2 mi S of Gonvick off Cnty Rd 7 on NE shore.,DNR Division of Parks and Trails,1,0,1,0,12,3,gravel,1,gravel,-95.512444,47.703868
WAS00529,"Leech Lake, Battle Point Public Water Access Site","3 mi S of Federal Dam on Cnty Rd 8, then 4.5 mi W on Cnty Rd 73, S .8mi on Cnty Rd 136, then E .8 mi on Twp Rd, on W side of Boy River Bayand E side of lake.",DNR Division of Parks and Trails,3,1,1,0,30,3,asphalt,2,concrete slab,-94.287756,47.169402
WAS00530,"St. Louis River, Hwy 2 Public Water Access Site","0.5 mi S of Brookston on Cnty Rd 31, then 1.5 mi E on US Hwy 2 to E bank.",DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,1,concrete slab,-92.575412,46.84885
WAS00531,"Red River, Golden Grain Public Water Access Site",10 miles east of Hallock on MN Hwy 175,DNR Division of Parks and Trails,0,0,1,0,12,25,asphalt,1,concrete slab,-97.157016,48.787866
WAS00532,"Red River, Oslo Public Water Access Site","West side city of Oslo, north side of MN Hwy 1",DNR Division of Parks and Trails,0,1,1,0,12,25,asphalt,1,concrete slab,-97.139106,48.194737
WAS00533,"Two Rivers, Gilbert Olson City Park Public Water Access Site",Located in Gilbert Olson City Park city of Hallock,City of Hallock,0,1,1,0,5,10,gravel,1,concrete slab,-96.93253,48.769473
WAS00534,"Roseau River, Trangsrud Public Water Access Site","10 miles north of Badger, off County Road 113, on the north bank of  the Roseau River.",Roseau County,0,0,1,0,15,15,gravel,1,concrete slab,-96.072852,48.919802
WAS00535,Whitefish Lake Public Water Access Site,"4 mi E of Fosston on Cnty Rd 1, then 1 mi N to E shore.",DNR Division of Parks and Trails,0,0,1,0,4,6,gravel,1,concrete slab,-95.643273,47.585831
WAS00536,"Red River, Halstad Landing Public Water Access Site","0.75 miles west of Halstad, off MN Highway #200, on the east bank of the Red River.",City of Halstad,0,0,1,0,8,12,asphalt,1,concrete slab,-96.840171,47.353259
WAS00537,"Tamarac River, Florian County Park Public Water Access Site","9.5 miles east of Stephen, 1 miles off County Road 6, in the Florian Recreation Area, on the north band of the Tamarac River.",Marshall County,0,1,1,0,5,5,gravel,1,concrete slab,-96.651404,48.427865
WAS00538,Wild Rice River Public Water Access Site,From Hendrum 1.5 miles north on Hwy 75 then west into city park area,City of Hendrum,0,0,1,0,12,25,grass over gravel,0,natural,-96.813346,47.28868
WAS00539,"Rainy River, Wheeler's Point Public Water Access Site",12 miles north of Baudette on MN Hwy 172,DNR Division of Parks and Trails,2,2,1,0,50,50,gravel,3,concrete slab,-94.699154,48.836673
WAS00540,"Twin Lake, WMA Public Water Access Site",6.5 miles northeast of Karlstad located within Twin Lakes WMA,DNR Division of Fish and Wildlife,0,0,1,0,2,2,gravel,0,natural,-96.409336,48.630976
WAS00541,Twin Lakes (NW) Public Water Access Site,Approximatley 3 miles northeast of Karlstad,DNR Division of Fish and Wildlife,0,0,1,0,2,3,,0,natural,-96.46718,48.622773
WAS00542,Twistal Swamp (E) Public Water Access Site,"3 miles northeast of Karlstad on MN Hwy 11, west side of road",DNR Division of Fish and Wildlife,0,0,0,0,0,0,,0,natural,-96.459908,48.601315
WAS00543,"Rainy River, Timber Mill City Park Public Water Access Site",East side of Baudette in City Park,City of Baudette,1,2,1,0,30,30,asphalt,2,concrete slab,-94.579104,48.715405
WAS00544,"Red Lake River, Neptune Bridge Public Water Access Site","25 miles east on MN Hwy 1, south on county road 7 for 8 miles, access in on south bank of river",Pennington County,0,0,1,0,4,8,gravel,1,concrete slab,-95.625811,48.00607
WAS00545,"Red River, LaFave Public Water Access Site",Located behind Cabela's Sports Store in East Grand Forks,City of East Grand Forks,0,0,1,0,10,15,gravel,1,concrete slab,-97.024557,47.925014
WAS00546,"Red Lake River, Kratka Crossing Public Water Access Site","12 miles southeast of Thief River Falls on the Red Lake off west side county road 7, north bank of river",Pennington County,0,0,1,0,0,2,natural,0,natural,-95.939322,48.06189
WAS00547,"Red Lake River, High Landing Public Water Access Site","17 miles east on MN Hwy 1, south 5 miles on County Road 24, south bank of river",Pennington County,0,0,1,0,2,3,gravel,1,concrete slab,-95.805778,48.049154
WAS00548,"Red River, Hendrum Public Water Access Site",From Hendrum 1 mile west on MN Hwy 25,City of Hendrum,0,0,1,0,8,10,asphalt,1,concrete slab,-96.83381,47.266967
WAS00549,"Red Lake River, Central Park Public Water Access Site",Located in Central Park City of Crookston,City of Crookston,0,1,1,0,5,5,gravel,1,concrete slab,-96.601368,47.772882
WAS00550,"Red Lake River, Hwy 75 By-pass Public Water Access Site","Located on Hwy 75 by-pass around city of Crookston, west side of hwy",DNR Division of Parks and Trails,0,0,1,0,10,15,gravel,1,concrete slab,-96.630854,47.778377
WAS00551,"Roseau River, Caribou Public Water Access Site",Approximatley 25 miles Northeast of Lancaster on County Road 4,Roseau County,0,0,1,0,2,4,gravel,1,concrete slab,-96.405548,48.979689
WAS00552,"Red Lake River, Voyageur's View Public Water Access Site","1 miles north of the city of Red Lake Falls, off County Road 13, on  the north bank of the Red Lake River.",Red Lake County,0,0,0,0,0,0,,0,natural,-96.274129,47.897704
WAS00553,Spring Lake Public Water Access Site,"0.25 miles south of Lengby, off Country Roads 4 & 25, on the north shore of Spring Lake.",City of Lengby,1,1,1,0,4,5,gravel,1,concrete slab,-95.636259,47.512036
WAS00554,Sarah Lake Public Water Access Site,"2 mi S of Erskine on Cnty Rd 34, then 2.5 mi W on Cnty Rd 41, then 0.5 mi S to SW shore.",DNR Division of Parks and Trails,1,1,1,0,14,20,gravel,1,concrete slab,-96.044344,47.60799
WAS00555,Little Pickerel Public Water Access Site,"From Ottertail, go west 1 mile on Hwy 108 to Co Rd 55.  Go south 2.5 miles to site.",DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,1,gravel,-95.572405,46.390341
WAS00556,North Double Lake Public Water Access Site,"3 miles west of Westbrook on state highway 30, then 1 1/2 miles north",DNR Division of Parks and Trails,1,0,1,0,8,0,gravel,1,concrete slab,-95.380713,44.059744
WAS00557,Lake Sarah Public Water Access Site,"9mi. north of Slayton on Hwy 59, then 2.5 mi. west on co. rd. 16, then 1.5 mi. north on cy. rd 30, then 1/2 mi. east on access road to laks",DNR Division of Parks and Trails,1,0,1,0,12,5,asphalt,1,concrete slab,-95.783978,44.156776
WAS00558,"Otter Tail River, Taplin Gorge/Friberg Dam Public Water Access Site","From Elizabeth, MN go east 4.5 miles on Co Hwy 10 to 215th Ave.  Go North for 1 mile to 290th St.   Go east for 1 mile to Taplin Gorge/Friberg Dam parking area.",Otter Tail Power,0,0,1,0,0,5,gravel,1,concrete slab,-96.020619,46.382619
WAS00559,"Otter Tail River, Phelps Mill Public Water Access Site","From Maine, MN go south on Co Hwy 45 (becomes 295th St. and Phelps Mill Rd.)  for 2.5 miles to Phelps Mill Park.  Parking lot north of dam and mill.",Otter Tail County,0,1,1,0,0,50,asphalt,1,natural,-95.821009,46.382159
WAS00560,"Mississippi River, Wilson Park Public Water Access Site","In the city of St Cloud, located in Wilson Park on the east bank of the river at the jct of Riverside Dr and 7th St NE.",City of St. Cloud,1,1,1,0,12,0,gravel,2,concrete slab,-94.160738,45.569336
WAS00561,"Kettle River, Sandstone Public Water Access Site",In Sandstone on N side of MN Hwy 123 on W bank river.,City of Phelps,0,1,1,0,5,20,asphalt,1,concrete slab,-92.857372,46.133105
WAS00562,Little Iron Public Water Access Site,North of Grand Marias off the Gunflint Trail,U.S. Forest Service,0,0,1,0,0,3,gravel,0,natural,-90.643574,48.069324
WAS00563,Leora Public Water Access Site,"US Hwy 53, East on Co Rd 49 (Three Lakes Road) small roadside access",St. Louis County,0,0,1,0,0,0,natural,1,natural,-92.408249,47.096838
WAS00564,Island River Public Water Access Site,"5.5 miles northwest of Sawbill Landing, just west of Forest Route 377, on the north shore of the Island River.",U.S. Forest Service,0,0,1,0,0,12,gravel,1,gravel,-91.320053,47.791142
WAS00565,Moore Lake Public Water Access Site,"15 miles north of Lutsen, off Forest Road 165, on the north shore of Moore Lake.",U.S. Forest Service,0,0,1,0,2,0,natural,1,natural,-90.789256,47.835876
WAS00566,"Lake Superior, Hovland Public Water Access Site","In the city of Hovland, on Lake Superior.",Cook County,0,0,1,0,0,0,gravel,1,concrete slab,-89.969997,47.838949
WAS00567,Mcdonald Lake Public Water Access Site,"15 miles north of Grand Marais, off Forest Road 153, on the north shore of McDonald Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-90.526879,47.86379
WAS00568,Lichen Lake Public Water Access Site,"16 miles north of Lutsen, off Forest Road 165, on the northwest shore of Lichen Lake.",U.S. Forest Service,0,0,1,0,0,5,,1,natural,-90.734184,47.84452
WAS00569,Larch Creek Public Water Access Site,"51 miles north of Grand Marais on County Road 12, on the north bank of Larch Creek.",U.S. Forest Service,0,0,1,0,0,3,,1,natural,-90.840107,48.120817
WAS00570,Mayhew Lake Public Water Access Site,"34 miles north of Grand Marais, off County Road 12, on the east shore of Mayhew Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-90.569389,48.075633
WAS00571,Pine Creek Public Water Access Site,"10 miles north of Grand Marais, off County Road 27 on Forest Road 1365, on the south shore.",U.S. Forest Service,0,0,1,0,0,4,,1,natural,-90.406698,47.895212
WAS00572,Mink Lake Public Water Access Site,"10 miles northeast of Grand Marais, off Forest Road 140, on the east shore of Mink Lake.",U.S. Forest Service,0,0,1,0,0,20,natural,1,natural,-90.218178,47.867179
WAS00573,"Lake Superior, Silver Bay Safe Harbor Public Water Access Site",1.2 mi S of the city of Silver Bay on Lake Superior.,DNR Division of Parks and Trails,2,2,1,0,25,3,asphalt,3,concrete slab,-91.276244,47.270381
WAS00574,Partridge Lake Public Water Access Site,"3 miles north of Garrison on the east shore of Partridge Lake, Greenwood Isle Rd.",City of Garrison,0,0,0,0,0,0,,1,natural,-93.833862,46.350038
WAS00575,Paradise Lake Public Water Access Site,Take Hwy 4 north for 12 miles out of Duluth to Normanna Rd.  Follow Normanna Rd for 5.7 miles to Pequaywan Lake Rd.  Take Pequaywan Lake Rd. for 4.3 miles to Co Rd 266.  Follow Co Rd 266 for 5.7 miles to Paradise Lake Rd.,Alden Township,0,0,1,0,0,0,natural,0,,-91.881489,47.073192
WAS00576,"Island Lake, Dam Site Public Water Access Site","15 miles north of Duluth, off CSAH 4, on the north bank of the Cloquet River.",Minnesota Power,1,1,1,0,20,5,gravel,2,concrete slab,-92.223058,46.990939
WAS00577,"Island River, Comfort Lake (S) Public Water Access Site",From Hwy 1 in Isabella follow Wanless Rd east for 5.9 miles to Dumbbell Rd.  Follow Dumbbell Rd north for 9 miles to Lake 29 Rd.  Follow Lake 29 Rd for 2.5 miles to access.,U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.222945,47.764956
WAS00578,Mud Hen Lake Public Water Access Site,"Approximately 11.5 mi S of Biwabik on Cnty Rd 4, then 1 mi S on Cnty Rd 609, then 0.5 mi W on Cnty Rd 16 to N shore.",DNR Division of Parks and Trails,0,0,1,0,6,2,gravel,1,gravel,-92.304854,47.36958
WAS00579,Otto Lake Public Water Access Site,"15 miles southeast of the City of Hoyt Lakes, off Forest Route 416, on the east shore of Otto Lake.",U.S. Forest Service,0,0,0,0,0,0,,1,natural,-91.973292,47.32305
WAS00580,"Morcom Lake, Paleface Creek Public Water Access Site","0.5 mi N of Melrude on Cnty Rd 322, then 2 mi E on Cnty Rd 641, then NE to SW shore.",DNR Division of Parks and Trails,0,1,1,0,6,0,gravel,1,concrete slab,-92.366622,47.24831
WAS00581,Olson Lake Public Water Access Site,"9 mi N of Hermantown on Cnty Rd 48, then 1 mi E on Cnty Rd 43 to S shore.",DNR Division of Parks and Trails,0,0,1,0,3,0,gravel,1,concrete slab,-92.201618,46.974389
WAS00582,Little Wilson Lake Public Water Access Site,14 miles northwest of Schroeder.,U.S. Forest Service,0,0,1,0,1,0,gravel,1,gravel,-91.064526,47.658699
WAS00583,"Vermilion Lake, Polley Road Public Water Access Site",West on Hwy 1 from Tower for 4.2 miles.  North on Hwy 77 for 5.8 miles.  West on Co Rd 115 for 8.5 miles.  North on Wakely Rd for 2.7 miles.  East on Beatty Rd for 1.8 miles.  North on Polley Rd to access.,DNR Division of Parks and Trails,1,0,1,0,0,0,gravel,1,concrete slab,-92.554028,47.899272
WAS00584,"Vermilion Lake, Moccasin Point Public Water Access Site",From Intersections of State Road 169 and County Road 77 follow CR 77 to Moccasin Point Road,DNR Division of Parks and Trails,5,1,1,0,25,15,grass over gravel,2,concrete slab,-92.378635,47.889439
WAS00585,"Pelican Lake, Saunders Bay Public Water Access Site",From US 53 south of Orr follow Nett Lake Rd west for 1.5 miles to the access.,DNR Division of Parks and Trails,1,0,1,0,10,0,gravel,1,concrete slab,-92.863929,48.032604
WAS00586,Sauk Lake (S) Public Water Access Site,"In Sauk Centre, in the Sinclair Lewis Municipal Park on the southwestshore of Sauk Lake.",City of Sauk Centre,1,1,1,0,20,8,asphalt,1,concrete slab,-94.957832,45.739794
WAS00587,"Sauk River, Melrose Public Water Access Site","On the east side of Melrose, in the city park below the dam, left bank.",City of Melrose,0,0,1,0,8,4,gravel,1,natural,-94.806606,45.675308
WAS00588,Rice/Skunk Lake Public Water Access Site,"2 miles South of Little Falls on US Hwy. 10, then 4 miles East on Morrison Co. Rd. #35, then 0.5 mile North on Morrison Co. Rd. #256; on West bank, above the dam.",DNR Division of Fish and Wildlife,0,0,1,0,10,0,gravel,1,gravel,-94.252787,45.941762
WAS00589,Ramsey Lake Public Water Access Site,"1.5 mi S of the city of Maple Lake on Cnty Rd 8, to SE shore.",DNR Division of Parks and Trails,1,1,1,0,10,0,gravel,1,concrete slab,-93.991869,45.204052
WAS00590,"Platte River, McGonagle Park Public Water Access Site","In Royalton, in Memorial Park, on the east bank of the Platte River.",City of Royalton,0,1,1,0,0,6,gravel,1,natural,-94.286508,45.829605
WAS00591,White Iron Lake Public Water Access Site,"2 mi E of Ely on Mn Hwy 169, then 2 mi S on Cnty Rd 16, then S on Twp Rd to NW shore.",DNR Division of Parks and Trails,1,0,1,0,12,0,gravel,1,concrete slab,-91.788021,47.895904
WAS00592,"Vermilion Lake, Pederson Landing (Wakemup Bay) Public Water Access Site","2.5 mi N of Cook on Cnty Rd 24, then 3 mi E on Cty Rd 78, then 1 mi N on Cnty Rd 478 to S shore.",DNR Division of Parks and Trails,2,1,1,0,18,0,gravel,2,concrete slab,-92.58691,47.903184
WAS00593,"Vermilion Lake, Head o Lakes Public Water Access Site",Take Vermilion Dr north from Cook for 7.2 miles to access.,DNR Division of Parks and Trails,1,1,1,0,10,0,asphalt,1,concrete slab,-92.662535,47.948615
WAS00594,"Vermilion River, Co Rd 24 Public Water Access Site","3 mi SE of Buyck on Cnty Rd 24, to W bank and CCC campsite.",DNR Division of Parks and Trails,0,2,1,0,0,6,gravel,0,natural,-92.485855,48.072042
WAS00595,"Vermilion River,Shivley Falls Public Water Access Site",Take Vermilion Dr north from Cook for 9.3 miles to Crane Lake Rd.  Follow Crane Lake Rd/Co Rd 24 for 8 miles to Co Rd 422.  Follow Co Rd 422 for 2.4 miles to River Richard Rd.  Follow River Richard Rd to access,DNR Division of Parks and Trails,0,0,1,0,0,8,gravel,0,natural,-92.466098,47.969876
WAS00596,"Vermilion Lake, Hoodoo Public Water Access Site","1 mile north of Tower, on the south side of Hoodoo Point on Vermilion Lake.",City of Tower,1,0,1,0,5,0,gravel,1,concrete slab,-92.295468,47.816815
WAS00598,Stingy Lake Public Water Access Site,From Hwy 55 follow CR 554 northwest for 1.8 miles to the access.,DNR Division of Parks and Trails,1,0,1,0,5,0,,1,concrete slab,-93.119446,47.592023
WAS00599,Snowbank Lake Public Water Access Site,18.5 mi NE of Winton on Fernberg Rd to S shore.,U.S. Forest Service,1,1,1,0,15,0,gravel,1,concrete slab,-91.432267,47.971296
WAS00600,Silver Lake Public Water Access Site,"5.5 mi S of Biwabik on Cnty Rd 4, then 1 mi E on Cnty Rd 525 to SW shore.",DNR Division of Parks and Trails,0,0,1,0,2,0,natural,1,gravel,-92.32107,47.458675
WAS00601,"Shagawa Lake, Sandy Point Public Water Access Site","On the north edge of Ely, just east of Grand Ely Lodge and north of Miners Lake.",DNR Division of Parks and Trails,2,1,1,0,18,0,asphalt,2,concrete slab,-91.857074,47.914726
WAS00602,"Rainy Lake, Tilson Public Water Access Site","5.5 mi E of Ranier on Mn Hwy 11, next to Tilson Creek.",DNR Division of Parks and Trails,1,1,1,0,20,16,asphalt,2,concrete slab,-93.234284,48.598751
WAS00603,Pleasant Lake Public Water Access Site,"7 mi S of Virginia on US Hwy 53, then 2 mi E on Cnty Rd 95, then S on access road to N shore.",DNR Division of Parks and Trails,0,0,1,0,10,0,gravel,1,concrete slab,-92.479523,47.398465
WAS00604,"Vermilion Lake, Frazer Bay Public Water Access Site","Approximately 8 mi E of Cook on Mn Hwy 1, then 4 mi E on Cnty Rd 418, to Frazer Bay on S shore.",DNR Division of Parks and Trails,1,1,1,0,24,0,natural,2,concrete slab,-92.46972,47.866613
WAS00605,Rat Root River Public Water Access Site,"3 miles east of Ericsburg, off County Road 119, on the east fork of the Rat/Root River.",DNR Division of Parks and Trails,0,0,1,0,12,0,gravel,1,concrete slab,-93.263945,48.489306
WAS00606,Stub Lake Public Water Access Site,Follow Hwy 169/Co Rd 18 east out of Winton for 5 miles and turn left onto forest road.,DNR Division of Parks and Trails,0,0,1,0,0,4,natural,0,,-91.703619,47.942084
WAS00607,"Vermilion River, Holmes Creek Public Water Access Site","6 mi S of the city of Crane Lake on Cnty Rd 24, then 4.5 mi W on GoldMine Rd to Holmes Creek.",DNR Division of Parks and Trails,0,0,1,0,10,4,gravel,1,gravel,-92.577478,48.235168
WAS00608,Susan Lake Public Water Access Site,Take Vermilion Dr north from Cook for 9.3 miles to Crane Lake Rd.  Follow Crane Lake Rd for 0.5 miles to access.,DNR Division of Parks and Trails,0,0,0,0,0,0,,0,,-92.66022,47.976239
WAS00609,"St. Louis River, Paupores Public Water Access Site",From US 2 follow Nygaard Rd north for 1.5 miles to the access.,DNR Division of Parks and Trails,0,0,1,0,3,0,gravel,1,concrete slab,-92.765221,46.874103
WAS00610,Trout Lake (N) Public Water Access Site,In Coleraine off of Roosevelt St.,City of Coleraine,1,1,1,0,17,0,asphalt,2,concrete slab,-93.419253,47.288006
WAS00611,Snaptail Lake Public Water Access Site,From US 169 in Taconite follow Hwy 7 north for 12 miles to Hwy 50.  Follow Hwy 50 west for 0.8 miles to the access.,DNR Division of Parks and Trails,0,0,1,0,1,0,gravel,1,natural,-93.381934,47.462236
WAS00612,Twin Lake Public Water Access Site,"0.5 mi S of Marble on Cnty Rd 69, then .25 mi W to N shore.",City of Marble,1,0,1,0,15,0,asphalt,1,concrete slab,-93.311557,47.30894
WAS00613,"St. Louis River, Zim Public Water Access Site","6 mi S of Eveleth on US Hwy 53, then 4 mi W on Cnty Rd 16, then 4.5  mi S on Cnty Rd 7, then 3 mi W on Cnty Rd 27.",DNR Division of Parks and Trails,0,0,1,0,0,4,gravel,1,natural,-92.659524,47.30593
WAS00614,"St. Louis River, Forbes Public Water Access Site","6 mi S of Eveleth on US Hwy 53, then 4 mi W on Cnty Rd 16, then 0.5 mi S on Cnty Rd 7 to S bank.",DNR Division of Parks and Trails,0,0,1,0,0,4,gravel,0,natural,-92.600752,47.362157
WAS00615,"St. Louis River, Toivola Public Water Access Site",1 mi E of Toivola on Cnty Rd 52 to E bank.,DNR Division of Parks and Trails,0,0,1,0,3,0,gravel,1,natural,-92.779261,47.16725
WAS00616,Prairie Lake Public Water Access Site,10 mi S of Floodwood on Mn Hwy 73 to E shore.,DNR Division of Parks and Trails,1,1,1,0,6,0,gravel,1,concrete slab,-92.884647,46.789087
WAS00617,Teufer Lake Public Water Access Site,"3 miles east of Northome, on MN Highway #1.",Koochiching County,0,1,0,0,0,0,,1,gravel,-94.218437,47.869352
WAS00618,Seretha Lake Public Water Access Site,"7 miles northeast of Mizpah, on US Highway #71, then 1 mile west.",Koochiching County,0,0,0,0,0,0,,1,gravel,-94.102295,48.008471
WAS00619,Scooty Lake Public Water Access Site,"18 miles north of Taconite, off County Road 336, on the west shore of Scooty Lake.",Itasca County,0,0,1,0,2,0,,1,natural,-93.307099,47.574603
WAS00620,Round Lake Public Water Access Site,"20 mi SE of Big Fork on Cnty Rd 7, then 3 mi N on Cnty Rd 52, then 1 mi E to N shore.",Itasca County,0,0,1,0,2,0,natural,1,concrete slab,-93.363844,47.607062
WAS00621,Turtle Lake Public Water Access Site,"4.5 mi N of Marcell on Mn Hwy 38, then 3 mi W on Cnty Rd 43, then 1 mi S on State Forest Rd to NE shore.",DNR Division of Parks and Trails,1,0,1,0,3,0,gravel,1,concrete slab,-93.722034,47.639061
WAS00622,Spider Lake Public Water Access Site,"24 mi N of Motley, 2 mi E on CSAH 20, Foothills State Forest, on NW shore of Spider Lake.",Cass County,1,0,1,0,6,0,gravel,1,concrete slab,-94.666105,46.672398
WAS00623,Sylvan Lake Public Water Access Site,"3 mi W of Baxter on Hwy 210, then 3 mi N on Co Rd 18, then 0.5 mi N on Sylvan Rd.",DNR Division of Parks and Trails,1,0,1,0,6,0,gravel,1,concrete slab,-94.372256,46.374608
WAS00624,South Twin Lake Public Water Access Site,4 miles Northeast of Menagha on Wadena Co. Rd. #21.,DNR Division of Parks and Trails,1,1,1,0,8,0,gravel,1,concrete slab,-95.034018,46.803071
WAS00625,Stocking Lake Public Water Access Site,2 miles East of Menagha on Wadena Co. Rd. #17.,DNR Division of Parks and Trails,1,1,1,0,18,0,gravel,1,concrete slab,-95.061958,46.75819
WAS00626,Sugar Lake Public Water Access Site,"4 miles northeast of Remer on Mn Highway 6, then 4.5 miles north of Forest Road 2112, on west shore",U.S. Forest Service,0,0,1,0,10,0,,1,,-93.85461,47.153518
WAS00627,Tidd Lake Public Water Access Site,"6 miles north of Remer, off County Road 52, on west shore of Tidd Lake.",U.S. Forest Service,0,0,1,0,2,0,grass over gravel,1,natural,-93.955804,47.147592
