Site ID,Site Name,Directions to Site,Site Coordinates,Administrator of Site,Number of Docks,Number of Restrooms,Number of Parking Lots,Number of Accessible Spaces,Number of Trailer Spaces,Number of Vehicle Spaces,Parking Lot Surface,Number of Ramps,Ramp Surface
WAS00431,Swan Lake Public Water Access Site,"7 miles south of Pengilly, on MN Highwayt #65, on the west shore of Twin Lake.","[-93.198653, 47.288776]",DNR Division of Parks and Trails,1,0,1,0,4,0,asphalt,1,concrete slab
WAS00432,"Pokegama Lake, Tioga Public Water Access Site","1 mile west of Grand Rapids on Hwy 2, south 2.5 miles Hwy 63, .9 miles east on Tioga Beach Road. ","[-93.610347, 47.223661]",DNR Division of Parks and Trails,1,1,1,0,10,0,gravel,1,concrete slab
WAS00433,Split Hand Lake Public Water Access Site,"9 mi S of Grand Rapids on US Hwy 169, the 3 mi E on Cnty Rd 67, then 1 mi S on Cnty Rd 68, then 2 mi S on Cnty Rd 432 to W shore.","[-93.498771, 47.054648]",DNR Division of Parks and Trails,1,1,1,0,15,0,gravel,1,concrete slab
WAS00434,Sucker Lake Public Water Access Site,From Hwy 65 north of Naskwauk follow CR 58 west for 3.7 miles to Sucker Lake Rd.  Follow Sucker Lake Rd west for 1.5 miles to the access.,"[-93.267031, 47.377788]",DNR Division of Parks and Trails,1,0,1,0,5,0,gravel,1,concrete slab
WAS00435,Prairie Lake (S) Public Water Access Site,Follow Hwy 61 west out of Coleraine for 3 miles to the access.,"[-93.495695, 47.286879]",Arbo Township,0,0,1,0,3,0,gravel,1,concrete slab
WAS00436,"Trout Lake, Kom-on-in Beach Public Water Access Site",From US 169 in Coleraine follow CR 10 south for 3.7 miles to the access.,"[-93.384518, 47.24486]","Greenway Lions Club, Greenway Township",1,1,1,0,4,0,gravel,1,concrete slab
WAS00437,West Twin Lake Public Water Access Site,From US 2 take Twin Lakes Dr south for 3.8 miles to the access.,"[-92.596896, 46.798068]",St. Louis County,0,0,0,0,0,0,,1,gravel
WAS00438,"Sauk River, Lions Park Public Water Access Site","In Cold Spring, south of Mn Highway 23 bridge crossing, in Lions Park, on the west shore of the river.","[-94.423889, 45.452592]",City of Cold Spring,1,1,1,0,20,0,asphalt,1,concrete slab
WAS00439,"Sauk River, Eagle Park Public Water Access Site","From the city of Rockville, N on CoRd 139 .25 mi to the bridge xing the Sauk River, site is on the NE bridge corner.","[-94.340291, 45.474575]",City of Rockville,1,0,1,0,0,8,gravel,1,natural
WAS00440,Twin/Sylvia Lake Public Water Access Site,"1.5 mi S of South Haven on Cnty Rd 2, then 2 mi S on Quinn Ave to SW shore of Twin Lake.","[-94.223673, 45.239033]",DNR Division of Parks and Trails,2,2,1,0,25,0,asphalt,1,concrete slab
WAS00441,"St. Francis River, Co Rd 15 Public Water Access Site","6 miles northeast of the City of Big Lake, on CSAH 15, on the west shore of the Saint Francis River.","[-93.683146, 45.402661]",DNR Division of Parks and Trails,0,0,1,0,0,4,gravel,1,natural
WAS00442,Shakopee Lake Public Water Access Site,"6.5 mi SW of Cokato, to N shore.","[-94.206225, 44.987174]",DNR Division of Parks and Trails,0,0,1,0,2,0,natural,1,natural
WAS00443,School Section Lake Public Water Access Site,"1.5 miles north on Hwy 15, then 1 mile east on 150th Street, then 0.5 miles south on 73rd Ave. then 1/4 mile west on 145th St to the north shore of the lake.","[-94.272853, 45.334792]",DNR Division of Parks and Trails,1,0,1,0,10,0,gravel,1,concrete slab
WAS00444,Rice Lake Public Water Access Site,"3 mi E of Browerville on Cnty Rd 16, then 2 mi N on Twp Rd to W shore.","[-94.745717, 46.136491]",DNR Division of Parks and Trails,0,0,1,0,0,4,gravel,1,natural
WAS00445,Sullivan Lake Public Water Access Site,2 mi E of the city of Maple Lake on Hwy. 55 then N on Crofoot Ave .5 mi.,"[-93.940849, 45.225077]",DNR Division of Parks and Trails,1,0,1,0,6,0,gravel,1,concrete slab
WAS00446,Sugar Lake (S) Public Water Access Site,4.5 mi NE of Annandale to S shore.,"[-94.051461, 45.30383]",DNR Division of Parks and Trails,1,1,1,0,17,0,asphalt,1,concrete slab
WAS00447,St. Anna Lake Public Water Access Site,"4 mi W of Saint Rosa on Cnty Rd 17, then 1.5 mi N on 248th Ave to NW shore.","[-94.617533, 45.746182]",DNR Division of Parks and Trails,1,0,1,0,8,0,gravel,1,gravel
WAS00448,Sand Lake Public Water Access Site,"From the city of Freeport, S on CoRd 11 2 mi to CoRd 30, turn E go 2 mi to the site on the west shore of the lake.","[-94.657054, 45.602457]",DNR Division of Parks and Trails,1,0,1,0,8,0,gravel,1,concrete slab
WAS00449,Pleasant Lake Public Water Access Site,"From Rockville, 1.5 miles east on Hwy 23, then 1.5 miles east on Co. Rd. 6 to the north shore of the lake.","[-94.279455, 45.500221]",DNR Division of Parks and Trails,1,1,1,0,12,0,asphalt,1,concrete slab
WAS00450,Rice Lake (N) Public Water Access Site,"0.75 miles east on State Hwy 23, then 0.25 miles south on 276th Ave, then 2.75 miles east on 180th St to the northwest shore of lake.","[-94.633251, 45.382695]",DNR Division of Parks and Trails,1,1,1,0,6,0,gravel,1,concrete slab
WAS00451,Remote Lake Public Water Access Site,From State Hwy 65 follow CR 36 east for 5.6 miles to Remote Lakes Forest Rd.  Follow Remote Lakes Forest Rd east for 2.6 miles to the access.,"[-93.214509, 46.828437]",DNR Division of Parks and Trails,0,0,1,0,0,0,gravel,1,natural
WAS00452,Savanna Lake Public Water Access Site,From State Hwy 65 follow CR 14 east for 11.5 miles through Savanna Portage State park to Savanna Lake Rd.  Follow Savanna Lake Rd for 1.2 miles north to the access.,"[-93.180035, 46.848253]",DNR Division of Parks and Trails,0,1,1,0,0,0,gravel,0,natural
WAS00453,"Sauk Lake, Hwy 71 Public Water Access Site","1 mile north of Sauk Centre, on US Highway #71, on the west shore of Sauk Lake.","[-94.939948, 45.76059]",DNR Division of Parks and Trails,1,1,1,2,35,0,asphalt,2,concrete slab
WAS00454,Two Rivers Lake Public Water Access Site,"5 miles north on Co Rd 10, then 0.5 miles east on 390th St to the northwest shore of lake.","[-94.510327, 45.68746]",DNR Division of Parks and Trails,1,1,1,0,20,0,gravel,1,concrete slab
WAS00455,Waverly Lake Public Water Access Site,In Waverly's Waterfront Legion Park off of N 5th St,"[-93.968375, 45.070416]",City of Waverly,0,0,0,0,0,0,,1,
WAS00456,"Snake River, Co Rd 11 Public Water Access Site","1 mi E of Mora on Mn Hwy 23, then 4.5 mi S on Cnty Rd 11.","[-93.265115, 45.811478]",DNR Division of Parks and Trails,0,0,1,0,10,0,natural,1,concrete slab
WAS00457,"Snake River, Co Rd 3 Public Water Access Site","10 mi N of Mora on Mn Hwy 65, then 2 mi E on Cnty Rd 3.","[-93.231933, 46.023757]",DNR Division of Parks and Trails,0,0,1,0,0,8,gravel,0,natural
WAS00458,Pomroy Lake Public Water Access Site,"4 mi N of Quamba on Cnty Rd 73, then .1 mi on Cnty Rd 73, then N 1.5 mi to SE shore.","[-93.180451, 46.011271]",DNR Division of Parks and Trails,1,0,1,0,10,0,gravel,1,concrete slab
WAS00459,"Rum River, Princeton Public Water Access Site","In Princeton's Riverside Municipal Park, just S of Mn Hwy 95 Rum River bridge, on W bank.","[-93.578615, 45.572785]",City of Princeton,0,1,1,0,0,5,asphalt,1,natural
WAS00460,"Rum River, Mille Lacs Co Rd 4 Public Water Access Site","2.5 mi E of Pease on Cnty Rd 8, then .5 mi N on Cnty Rd 4 to NW corner of bridge.","[-93.585848, 45.703189]",Bogus Brook Township,0,0,1,0,0,8,gravel,1,natural
WAS00461,"Rum River, Milaca Dam Site Public Water Access Site","In Milaca, 0.5 miles west of US Highway #169, on the east shore of the Rum River above the Milaca Dam.","[-93.660172, 45.754432]",City of Milaca,0,0,1,0,4,6,gravel,1,natural
WAS00462,"Rum River, Wayside Landing Public Water Access Site","In the MN. Highway #169 Wayside Rest Area, 10 mi. North of Milaca.","[-93.664576, 45.925783]",DNR Division of Parks and Trails,0,0,1,0,0,8,asphalt,1,natural
WAS00463,"Mississippi River, Royalton Sportsman's Club Public Water Access Site",2 miles west of  Royalton on Morrison Co. Rd. 26 at the Mississippi River bridge crossing. Fee charged.,"[-94.350676, 45.829712]",Royalton Sportsman's Club,0,1,1,0,5,0,natural,1,gravel
WAS00464,Rice Lake Public Water Access Site,"In Kunkel Wildlife Management Area, 2.5 mi W of Princeton on Mn Hwy 95, then S to SW shore.","[-93.656821, 45.572393]",DNR Division of Parks and Trails,0,0,0,0,0,0,,1,natural
WAS00465,"Sauk River, Knights of Columbus Public Water Access Site","In Knights of Columbus Park  near the jct of CSAH 4 and CSAH 138, on the east bank of the Sauk River.","[-94.22882, 45.568254]",City of St. Cloud,0,1,1,0,0,8,asphalt,1,natural
WAS00466,"St. Francis River, Sherburne National Wildlife Refuge Public Water Access Site","3 miles northwest of Zimmerman, off CSAH 1, on the east shore of the Saint Francis River.","[-93.640404, 45.469158]",U.S. Fish and Wildlife Service,0,0,1,0,0,4,natural,1,natural
WAS00467,Warner Lake Public Water Access Site,"1.5 miles west of Clearwater, on the east shore of Watner Lake, in Warner Lake County Park.","[-94.082966, 45.421177]",Stearns County,0,1,1,0,5,5,gravel,1,concrete slab
WAS00468,Sugar Lake (N) Public Water Access Site,"6.5 mi S of Clearwater on Cnty Rd 7, to NE shore.","[-94.018474, 45.328968]",DNR Division of Parks and Trails,1,0,1,0,5,0,asphalt,1,concrete slab
WAS00469,Pleasant Lake (N) Public Water Access Site,"In Clearwater-Pleasant Regional Park, 1 mi N of Annandale on Mn Hwy 24, then W on 90th St, then S into park to N shore.","[-94.119659, 45.280862]",Wright County,1,1,1,0,12,0,asphalt,1,concrete slab
WAS00470,Union Lake Public Water Access Site,"4 mi SW of South Haven on Cnty Rd 2, to SE shore.","[-94.259618, 45.250631]",DNR Division of Parks and Trails,1,0,1,0,10,0,gravel,1,concrete slab
WAS00471,White Lake Public Water Access Site,"3.75 mi SW of the city of Maple Lake on Cnty Rd 7, to W shore.","[-94.032165, 45.193671]",DNR Division of Parks and Trails,0,0,1,0,2,0,gravel,1,natural
WAS00472,Rock Lake Public Water Access Site,"3.5 mi S of the city of Maple Lake on Co. 8, near Rock Lake Campground, on E shore.","[-94.009489, 45.172969]",DNR Division of Parks and Trails,1,0,1,0,10,0,gravel,1,concrete slab
WAS00473,"Waverly Lake, Waterfront Park Public Water Access Site","In the city of Waverly, on the southeast shore of Waverly Lake.","[-93.965226, 45.069905]",City of Waverly,1,1,1,0,0,0,asphalt,1,concrete slab
WAS00474,Sylvia Lake Public Water Access Site,"From Melrose, 5 miles northeast on County Road 17, on the south shore of Sylvia Lake.","[-94.788209, 45.746169]",Stearns County,1,0,1,0,10,10,asphalt,1,concrete slab
WAS00475,Serpent Lake (W) Public Water Access Site,"In Crosby city park, 0.25 mile East of MN Hwy. 6.","[-93.955763, 46.47866]",City of Crosby,2,1,1,1,13,5,asphalt,2,concrete slab
WAS00476,Strawberry Lake Public Water Access Site,"6 mi W of Crosslake on Co Rd 16, then 0.5 mi S on Co Rd 39, then 0.75 mi W on Co Rd 120.","[-94.207727, 46.64621]",DNR Division of Parks and Trails,0,0,1,0,6,0,gravel,1,natural
WAS00477,Upper Hay Lake Public Water Access Site,"0.5 mile E of Jenkins on Co Rd 145, then 0.25 mile S, then 0.75 mile E on Upper Hay Lk Rd.","[-94.310834, 46.642622]",DNR Division of Parks and Trails,1,0,1,0,5,0,gravel,1,concrete slab
WAS00478,Lake Ore-B-Gone Public Water Access Site,Southeastern side of Gilbert on Wisconsin Ave.,"[-92.461024, 47.482991]",City of Gilbert,1,2,1,0,10,0,gravel,1,concrete slab
WAS00479,Longyear Lake Public Water Access Site,In Chisholm off of Central Ave NE,"[-92.876362, 47.490618]",City of Chisholm,1,0,1,0,3,0,gravel,1,concrete slab
WAS00480,"Vermilion Lake, Norwegian Bay Public Water Access Site","17 mi N of Cook on Cnty Rd 24, then 1 mi S on Cnty Rd 596, to end of road, on N shore.","[-92.542275, 47.958107]",DNR Division of Parks and Trails,1,0,1,0,10,0,gravel,1,concrete slab
WAS00482,"Vermilion Lake, Hoodoo (N) Public Water Access Site","1 mile north of Tower, on the north side of Hoodoo Point on Vermilion Lake.","[-92.295629, 47.819845]",City of Tower,2,1,1,0,37,0,asphalt,2,concrete slab
WAS00483,Pike River (N) Public Water Access Site,"5 mi W of Tower on Mn Hwy 1, on S side of road.","[-92.379219, 47.786907]",DNR Division of Parks and Trails,0,0,1,0,3,3,gravel,1,gravel
WAS00484,"Pelican Lake, Orr Public Water Access Site","In the City of Orr, off US Highway #53, on the east shore of Pelican Lake, by the American Legion Hall.","[-92.833349, 48.053813]",City of Orr,1,0,1,0,15,0,asphalt,2,concrete slab
WAS00485,Pelican Lake (NE) Public Water Access Site,"Off County Highway 517, on the northeast shore of Pelican Lake.","[-92.839405, 48.075445]",St. Louis County,0,0,1,0,6,0,gravel,1,concrete slab
WAS00486,"Pelican Lake, Co Rd 515 Public Water Access Site","1 mile west of Orr, at the end of County Road 515, on the east side of Pelican Lake.","[-92.857764, 48.061623]",St. Louis County,0,0,1,0,3,0,gravel,1,gravel
WAS00487,Ojibway Lake (N) Public Water Access Site,"13 mi NE of Winton on the Fernberg Rd, then S on access road to N shore.","[-91.562166, 47.955627]",U.S. Forest Service,1,2,1,0,12,8,gravel,1,concrete slab
WAS00488,O'leary Lake Public Water Access Site,"12 miles north of Nashwauk, off MN Highway #65, on the east shore of O'Leary Lake.","[-93.181472, 47.579916]",Itasca County,0,0,1,0,2,0,,1,natural
WAS00489,North Twin Lake Public Water Access Site,"5.5 miles south of Aurora, on the south shore of North Twin Lake.","[-92.251097, 47.447348]",City of Aurora,0,0,1,0,6,0,gravel,1,gravel
WAS00490,Moose Lake Public Water Access Site,"13 mi NE of Winton on Fernberg Road, then 2.5 mi NE on Moose Lake Road to SE shore.","[-91.500088, 47.987256]",U.S. Forest Service,1,1,1,0,35,34,asphalt,2,concrete slab
WAS00491,Pioneer Mine Pit Public Water Access Site,On N Pioneer Trail on the north side of Ely.,"[-91.861856, 47.910669]",City of Ely,0,0,1,0,4,0,asphalt,1,concrete slab
WAS00492,Mcquade Lake (W) Public Water Access Site,"11 mi E of downtown Hibbing, S of Cnty Rd 592, to W shore.","[-92.773543, 47.419099]",DNR Division of Parks and Trails,0,0,1,0,8,0,gravel,1,natural
WAS00493,Loon Lake Public Water Access Site,Follow Co Hwy 16 north and east from Makinen for 6.8 miles to Co Rd 344.  Take Co Rd 344 north for 1 mile to Rd 37.  Take Rd 37 west for 0.3 miles to access.,"[-92.246105, 47.387133]",White Township,1,0,1,0,5,0,gravel,1,concrete slab
WAS00494,Long Lake Public Water Access Site,From Hwy 73 follow Briski Rd west for 1 mile to Balch Rd.  Take Balch Rd north for 1 mile to Hyvarinen Rd. Follow Hyvarinen Rd west for 1 mile to Long Lake Rd. Take Long Lake Rd north for 0.2 miles to Centa Rd. Take Centa Rd west for 0.2 miles to access,"[-92.915916, 47.591816]",Balkan Township,0,0,0,0,0,0,,1,concrete slab
WAS00495,Little Lake Public Water Access Site,From CR 120 south of Ely follow Birch Lake Rd south for 1.4 miles to Gorske Rd.  Follow access trail east for 1 mile to the access.,"[-91.827059, 47.781086]",DNR Division of Parks and Trails,0,0,1,0,0,2,natural,0,
WAS00496,Kinney Mine Pit Public Water Access Site,In Kinney off of 1st St,"[-92.727227, 47.513373]",Kinney Township,0,2,1,0,5,0,gravel,1,concrete slab
WAS00497,Joseph Lake Public Water Access Site,From Hwy 21 near Babbitt follow Co Rd 904 west 1.7 miles to W Bear Island Lake Rd.  Follow W Bear Island Lake Rd to Makkyla Trl and follow this west to the access.,"[-92.026471, 47.748284]",DNR Division of Parks and Trails,0,0,1,0,2,0,natural,0,natural
WAS00498,Lake One Public Water Access Site,"13.5 miles northeast of Section Thirty, just off CSAH 18, on the northwest shore of the North Kawishiwi River.","[-91.478351, 47.93904]",U.S. Forest Service,0,2,1,0,0,40,asphalt,1,natural
WAS00499,Johnson Lake Public Water Access Site,"7 miles southwest of Ely, on the east shore of Johnson Lake, off CSAH 21.","[-91.896829, 47.813581]",U.S. Forest Service,0,1,1,0,5,0,gravel,1,gravel
WAS00500,Jeanette Lake Public Water Access Site,"3.8 mi N of Buyck, on Cnty Rd 24, then 11.5 mi E on Cnty Rd 116 (EchoTrail), to S shore and W side of bay, across from campground.","[-92.300397, 48.131084]",U.S. Forest Service,1,1,1,0,12,0,gravel,1,concrete slab
WAS00501,James Lake Public Water Access Site,12 mi N of Virginia on Mn Hwy 53 to N shore.,"[-92.608479, 47.656153]",DNR Division of Parks and Trails,0,0,1,0,6,0,gravel,1,concrete slab
WAS00502,"Little Fork River, Samuelson Park Public Water Access Site","3.5 mi S of Silverdale on Mn Hwy 65, then 2.5 mi E on Cnty Rd 75.","[-93.099263, 47.94852]",Koochiching County,0,0,1,0,0,10,natural,0,
WAS00503,"Little Fork River, Dentaybow Public Water Access Site","13 mi S of the city of Little Fork on Mn Hwy 65, then 1 mi E on Twp  Rd 36.","[-93.481842, 48.214011]",Koochiching County,0,1,1,0,0,6,gravel,0,natural
WAS00504,"Vermilion Lake, McKinley Park Public Water Access Site",North side of Tower on Miettunen Plat Rd.,"[-92.274045, 47.828217]",Breitung Township,2,0,1,0,0,20,asphalt,1,concrete slab
WAS00505,Isabella Lake Public Water Access Site,From Hwy 1 follow Tomahawk Rd east for 18.4 miles to access.,"[-91.302458, 47.80383]",U.S. Forest Service,0,1,1,0,0,10,gravel,0,
WAS00506,Mud (Knuckley) Lake Public Water Access Site,"10 miles north of Buhl, off County Road 461, on the south shore of Mud Lake.","[-92.763009, 47.647834]",U.S. Forest Service,0,0,1,0,2,0,natural,1,concrete slab
WAS00507,Pike River (S) Public Water Access Site,West on Hwy 21 from Embarrass for 2.8 miles.  North on Hwy 135 for1.5 miles.,"[-92.28138, 47.676345]",DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,0,natural
WAS00508,Judson Pit Public Water Access Site,In Buhl off of Crant Location,"[-92.785761, 47.491543]",City of Buhl,0,0,1,0,0,0,gravel,0,
WAS00509,Pike Lake Public Water Access Site,"9 miles northwest of Isabella, just west of Forest Route 383, on the west shore of Pike Lake.","[-91.553853, 47.676937]",U.S. Forest Service,0,0,0,0,0,0,,1,natural
WAS00510,Moose River (N) Public Water Access Site,"1 mile north of CSAH 116, on the east bank of the Moose River.","[-92.097923, 48.130004]",U.S. Forest Service,0,0,1,0,0,16,gravel,0,
WAS00511,Moose River (S) Public Water Access Site,"On the south side of Forest Route 464, south of Echo Trail, on the west bank of the Moose River.","[-92.131719, 48.0722]",U.S. Forest Service,0,0,0,0,0,0,,0,
WAS00512,"Picket Lake, Mudro Lake Public Water Access Site","8.5 miles north of Ely, off Forest Route 457.","[-91.834662, 48.031904]",U.S. Forest Service,0,0,1,0,0,25,gravel,0,natural
WAS00513,Mule Lake (W) Public Water Access Site,From Longville head south on Hwy 84 for 6.7 miles to the access.,"[-94.276659, 46.911162]",DNR Division of Parks and Trails,1,1,1,0,11,2,asphalt,1,concrete slab
WAS00514,"Lake Bemidji, Northwoods Public Water Access Site",3 miles north of Bemidji on CSAH 21 to NW shore of the lake.,"[-94.873445, 47.53361]",DNR Division of Parks and Trails,1,1,1,0,24,3,asphalt,2,concrete slab
WAS00515,"Lake Bemidji, Lavinia Public Water Access Site",NE of the city of Bemidji 4.4 miles on Cty Rd 19 and Pintail Lane NE on the east shore of lake.,"[-94.817267, 47.518573]",Northern Township,1,0,1,1,7,0,asphalt,1,concrete slab
WAS00516,Island Lake Public Water Access Site,"5 mi S of Lengby on Cnty Rd 4, then W on access road to E shore.","[-95.644213, 47.446911]",DNR Division of Parks and Trails,1,0,1,0,10,0,gravel,1,concrete slab
WAS00518,"Lake Bemidji, Cameron Park Public Water Access Site","In Bemidji, at the junction of 23rd Street and Birchmont Drive NE, on the Mississippi River.","[-94.873747, 47.494499]",City of Bemidji,2,1,1,0,19,33,asphalt,2,concrete slab
WAS00519,"Mississippi River, Iron Bridge Public Water Access Site",7.5 mi SW of Bemidji on N side of Cnty Rd 7 and across river from Iron Bridge Campground.,"[-94.999403, 47.435472]",DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,1,natural
WAS00520,"Lake Bemidji, Lake Bemidji SPK Public Water Access Site","From Bemidji, 4 miles north on Co Rd 21, then 2 miles east on Co Rd 20 to Bemidji State Park.","[-94.824844, 47.533394]",DNR Division of Parks and Trails,0,1,1,0,9,2,gravel,1,concrete slab
WAS00521,Pimushe Lake Public Water Access Site,5.5 mi N of Pennington off Cnty Rd 39.,"[-94.512176, 47.547567]",U.S. Forest Service,1,0,1,0,15,0,gravel,1,concrete slab
WAS00522,Island Lake Public Water Access Site,18 mi N of Wilton on MN Hwy 89 then .5 mi W on Twp Rd to NE shore.,"[-95.016889, 47.780937]",DNR Division of Parks and Trails,0,0,1,0,5,0,gravel,1,concrete slab
WAS00523,North Twin Lake Public Water Access Site,"7 miles east of Turtle River, off County Roaqd 22, on the south shore of North Twin Lake.","[-94.606013, 47.588518]",U.S. Forest Service,1,1,1,0,5,2,gravel,1,concrete slab
WAS00524,"Mississippi River, Big Fish Public Water Access Site","From Cass Lake go E. on Hwy 2, then N. on Co Rd 10, then E. on Smurler Rd SE, then N. on Forest Road 2171 to river bridge parking area.","[-94.425358, 47.443933]",U.S. Forest Service,0,0,1,0,3,0,,1,natural
WAS00525,Plantagenet Lake (N) Public Water Access Site,"From Bemidji, S of Hwy 71/Hwy 2 intersection 1.5 miles, W 2 miles on North Plantangenet Road SW.","[-94.908501, 47.410574]",Bemidji Township,0,0,0,0,0,0,,1,concrete slab
WAS00526,Midge Lake Public Water Access Site,"From Park Rapids, 0.7 mi E on Hwy 34, then 7.8 mi N on Co Rd 4, then .8 mi W on Twp Rd to S shore.","[-94.728323, 47.384353]",DNR Division of Parks and Trails,0,0,1,0,6,0,gravel,1,concrete slab
WAS00527,Moose Lake Public Water Access Site,"4 miles southeast of Shevlin, 2 miles east of county Road 2, on the south shore of Moose Lake.","[-95.187831, 47.471842]",Clearwater County,0,0,1,0,6,0,gravel,1,natural
WAS00528,Pine Lake (N) Public Water Access Site,2 mi S of Gonvick off Cnty Rd 7 on NE shore.,"[-95.512444, 47.703868]",DNR Division of Parks and Trails,1,0,1,0,12,3,gravel,1,gravel
WAS00529,"Leech Lake, Battle Point Public Water Access Site","3 mi S of Federal Dam on Cnty Rd 8, then 4.5 mi W on Cnty Rd 73, S .8mi on Cnty Rd 136, then E .8 mi on Twp Rd, on W side of Boy River Bayand E side of lake.","[-94.287756, 47.169402]",DNR Division of Parks and Trails,3,1,1,0,30,3,asphalt,2,concrete slab
WAS00530,"St. Louis River, Hwy 2 Public Water Access Site","0.5 mi S of Brookston on Cnty Rd 31, then 1.5 mi E on US Hwy 2 to E bank.","[-92.575412, 46.84885]",DNR Division of Parks and Trails,0,0,1,0,4,0,gravel,1,concrete slab
WAS00531,"Red River, Golden Grain Public Water Access Site",10 miles east of Hallock on MN Hwy 175,"[-97.157016, 48.787866]",DNR Division of Parks and Trails,0,0,1,0,12,25,asphalt,1,concrete slab
WAS00532,"Red River, Oslo Public Water Access Site","West side city of Oslo, north side of MN Hwy 1","[-97.139106, 48.194737]",DNR Division of Parks and Trails,0,1,1,0,12,25,asphalt,1,concrete slab
WAS00533,"Two Rivers, Gilbert Olson City Park Public Water Access Site",Located in Gilbert Olson City Park city of Hallock,"[-96.93253, 48.769473]",City of Hallock,0,1,1,0,5,10,gravel,1,concrete slab
WAS00534,"Roseau River, Trangsrud Public Water Access Site","10 miles north of Badger, off County Road 113, on the north bank of  the Roseau River.","[-96.072852, 48.919802]",Roseau County,0,0,1,0,15,15,gravel,1,concrete slab
WAS00535,Whitefish Lake Public Water Access Site,"4 mi E of Fosston on Cnty Rd 1, then 1 mi N to E shore.","[-95.643273, 47.585831]",DNR Division of Parks and Trails,0,0,1,0,4,6,gravel,1,concrete slab
WAS00536,"Red River, Halstad Landing Public Water Access Site","0.75 miles west of Halstad, off MN Highway #200, on the east bank of the Red River.","[-96.840171, 47.353259]",City of Halstad,0,0,1,0,8,12,asphalt,1,concrete slab
WAS00537,"Tamarac River, Florian County Park Public Water Access Site","9.5 miles east of Stephen, 1 miles off County Road 6, in the Florian Recreation Area, on the north band of the Tamarac River.","[-96.651404, 48.427865]",Marshall County,0,1,1,0,5,5,gravel,1,concrete slab
WAS00538,Wild Rice River Public Water Access Site,From Hendrum 1.5 miles north on Hwy 75 then west into city park area,"[-96.813346, 47.28868]",City of Hendrum,0,0,1,0,12,25,grass over gravel,0,natural
WAS00539,"Rainy River, Wheeler's Point Public Water Access Site",12 miles north of Baudette on MN Hwy 172,"[-94.699154, 48.836673]",DNR Division of Parks and Trails,2,2,1,0,50,50,gravel,3,concrete slab
WAS00540,"Twin Lake, WMA Public Water Access Site",6.5 miles northeast of Karlstad located within Twin Lakes WMA,"[-96.409336, 48.630976]",DNR Division of Fish and Wildlife,0,0,1,0,2,2,gravel,0,natural
WAS00541,Twin Lakes (NW) Public Water Access Site,Approximatley 3 miles northeast of Karlstad,"[-96.46718, 48.622773]",DNR Division of Fish and Wildlife,0,0,1,0,2,3,,0,natural
WAS00542,Twistal Swamp (E) Public Water Access Site,"3 miles northeast of Karlstad on MN Hwy 11, west side of road","[-96.459908, 48.601315]",DNR Division of Fish and Wildlife,0,0,0,0,0,0,,0,natural
WAS00543,"Rainy River, Timber Mill City Park Public Water Access Site",East side of Baudette in City Park,"[-94.579104, 48.715405]",City of Baudette,1,2,1,0,30,30,asphalt,2,concrete slab
WAS00544,"Red Lake River, Neptune Bridge Public Water Access Site","25 miles east on MN Hwy 1, south on county road 7 for 8 miles, access in on south bank of river","[-95.625811, 48.00607]",Pennington County,0,0,1,0,4,8,gravel,1,concrete slab
WAS00545,"Red River, LaFave Public Water Access Site",Located behind Cabela's Sports Store in East Grand Forks,"[-97.024557, 47.925014]",City of East Grand Forks,0,0,1,0,10,15,gravel,1,concrete slab
WAS00546,"Red Lake River, Kratka Crossing Public Water Access Site","12 miles southeast of Thief River Falls on the Red Lake off west side county road 7, north bank of river","[-95.939322, 48.06189]",Pennington County,0,0,1,0,0,2,natural,0,natural
WAS00547,"Red Lake River, High Landing Public Water Access Site","17 miles east on MN Hwy 1, south 5 miles on County Road 24, south bank of river","[-95.805778, 48.049154]",Pennington County,0,0,1,0,2,3,gravel,1,concrete slab
WAS00548,"Red River, Hendrum Public Water Access Site",From Hendrum 1 mile west on MN Hwy 25,"[-96.83381, 47.266967]",City of Hendrum,0,0,1,0,8,10,asphalt,1,concrete slab
WAS00549,"Red Lake River, Central Park Public Water Access Site",Located in Central Park City of Crookston,"[-96.601368, 47.772882]",City of Crookston,0,1,1,0,5,5,gravel,1,concrete slab
WAS00550,"Red Lake River, Hwy 75 By-pass Public Water Access Site","Located on Hwy 75 by-pass around city of Crookston, west side of hwy","[-96.630854, 47.778377]",DNR Division of Parks and Trails,0,0,1,0,10,15,gravel,1,concrete slab
WAS00551,"Roseau River, Caribou Public Water Access Site",Approximatley 25 miles Northeast of Lancaster on County Road 4,"[-96.405548, 48.979689]",Roseau County,0,0,1,0,2,4,gravel,1,concrete slab
WAS00552,"Red Lake River, Voyageur's View Public Water Access Site","1 miles north of the city of Red Lake Falls, off County Road 13, on  the north bank of the Red Lake River.","[-96.274129, 47.897704]",Red Lake County,0,0,0,0,0,0,,0,natural
WAS00553,Spring Lake Public Water Access Site,"0.25 miles south of Lengby, off Country Roads 4 & 25, on the north shore of Spring Lake.","[-95.636259, 47.512036]",City of Lengby,1,1,1,0,4,5,gravel,1,concrete slab
